"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,,,,,,,
,"ITCER con USA","ITCER global","ITCER con la región CAPARD","ITCER con el resto del mundo","ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual","ITCER con USA, variación con el año base","ITCER global, variación con el año base","ITCER con la región CAPARD, variación con el año base","ITCER con el resto del mundo, variación con el año base"
2016-Agosto,55.74,56.87,63.83,54.84,-4.96,-5.37,-6.35,-5.15,-44.26,-43.13,-36.17,-45.16
2016-Setiembre,55.91,56.77,63.66,54.76,-5.06,-5.75,-6.83,-5.50,-44.09,-43.23,-36.34,-45.24
2016-Octubre,55.39,56.18,62.94,54.20,-5.31,-6.68,-7.82,-6.40,-44.61,-43.82,-37.06,-45.80
2016-Noviembre,55.15,55.35,62.70,53.21,-4.61,-6.63,-7.24,-6.53,-44.85,-44.65,-37.30,-46.79
2016-Diciembre,55.16,55.07,62.66,52.87,-3.51,-5.84,-6.48,-5.74,-44.84,-44.93,-37.34,-47.13
2017-Enero,55.28,55.03,62.63,52.79,-3.01,-5.20,-6.07,-5.01,-44.72,-44.97,-37.37,-47.21
2017-Febrero,54.44,54.57,61.63,52.47,-4.56,-6.27,-7.46,-5.98,-45.56,-45.43,-38.37,-47.53
2017-Marzo,54.02,54.43,61.17,52.42,-6.16,-7.99,-8.58,-7.87,-45.98,-45.57,-38.83,-47.58
2017-Abril,53.89,54.46,60.92,52.52,-6.83,-8.63,-9.02,-8.57,-46.11,-45.54,-39.08,-47.48
2017-Mayo,53.79,54.37,60.58,52.51,-5.93,-7.01,-8.19,-6.70,-46.21,-45.63,-39.42,-47.49
2017-Junio,53.39,54.27,60.16,52.50,-6.44,-6.55,-8.19,-6.10,-46.61,-45.73,-39.84,-47.50
2017-Julio,52.25,53.37,58.89,51.70,-7.11,-6.82,-8.89,-6.22,-47.75,-46.63,-41.11,-48.30
2017-Agosto,52.38,53.72,58.84,52.17,-6.03,-5.54,-7.82,-4.87,-47.62,-46.28,-41.16,-47.83
2017-Setiembre,53.16,54.57,59.44,53.09,-4.91,-3.88,-6.63,-3.06,-46.84,-45.43,-40.56,-46.91
2017-Octubre,53.12,54.17,59.58,52.53,-4.10,-3.58,-5.34,-3.08,-46.88,-45.83,-40.42,-47.47
2017-Noviembre,52.58,53.66,59.16,52.00,-4.66,-3.04,-5.63,-2.28,-47.42,-46.34,-40.84,-48.00
2017-Diciembre,52.13,53.36,58.96,51.67,-5.49,-3.10,-5.91,-2.27,-47.87,-46.64,-41.04,-48.33
2018-Enero,52.64,54.22,59.31,52.70,-4.78,-1.47,-5.30,-0.17,-47.36,-45.78,-40.69,-47.30
2018-Febrero,53.12,54.93,59.69,53.50,-2.43,0.66,-3.16,1.95,-46.88,-45.07,-40.31,-46.50
2018-Marzo,53.35,55.12,59.85,53.69,-1.24,1.27,-2.15,2.43,-46.65,-44.88,-40.15,-46.31
2018-Abril,53.67,55.39,60.03,53.99,-0.42,1.71,-1.46,2.79,-46.33,-44.61,-39.97,-46.01
2018-Mayo,53.89,54.83,59.96,53.29,0.19,0.84,-1.02,1.48,-46.11,-45.17,-40.04,-46.71
2018-Junio,53.97,54.49,59.94,52.87,1.08,0.41,-0.37,0.70,-46.03,-45.51,-40.06,-47.13
2018-Julio,53.75,54.43,59.73,52.85,2.86,1.99,1.43,2.21,-46.25,-45.57,-40.27,-47.15
2018-Agosto,53.72,54.33,59.71,52.72,2.56,1.14,1.49,1.06,-46.28,-45.67,-40.29,-47.28
2018-Setiembre,54.59,55.15,60.42,53.58,2.67,1.07,1.64,0.93,-45.41,-44.85,-39.58,-46.42
2018-Octubre,54.93,55.34,60.62,53.76,3.42,2.16,1.74,2.34,-45.07,-44.66,-39.38,-46.24
2018-Noviembre,54.70,54.74,60.18,53.11,4.04,2.00,1.73,2.13,-45.30,-45.26,-39.82,-46.89
2018-Diciembre,54.69,54.91,60.42,53.27,4.92,2.91,2.48,3.09,-45.31,-45.09,-39.58,-46.73
2019-Enero,54.07,54.55,59.34,53.15,2.71,0.60,0.05,0.85,-45.93,-45.45,-40.66,-46.85
2019-Febrero,54.23,54.71,59.31,53.36,2.09,-0.40,-0.62,-0.26,-45.77,-45.29,-40.69,-46.64
2019-Marzo,54.24,54.62,59.32,53.24,1.67,-0.91,-0.89,-0.84,-45.76,-45.38,-40.68,-46.76
2019-Abril,53.88,54.24,58.98,52.85,0.41,-2.08,-1.76,-2.11,-46.12,-45.76,-41.02,-47.15
2019-Mayo,54.05,54.15,59.27,52.66,0.31,-1.24,-1.16,-1.19,-45.95,-45.85,-40.73,-47.34
2019-Junio,53.84,53.93,59.04,52.44,-0.23,-1.03,-1.49,-0.81,-46.16,-46.07,-40.96,-47.56
