Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de precios al consumidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,,El Salvador,,,,Guatemala,,,,Honduras,,,,Nicaragua,,,,República Dominicana,,,,Panamá,,,
,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior
1995-Febrero,14.88,1.48,24.13,5.72,57.17,1.10,8.63,1.91,33.94,-0.33,7.94,-0.27,46.96,4.95,33.22,7.95,35.42,0.83,11.95,1.23,16.15,0.39,14.47,1.94,62.11,0,0.95,-0.47
1995-Marzo,15.00,0.83,23.55,6.60,57.81,1.12,8.73,3.05,34.10,0.48,7.84,0.21,47.62,1.40,33.76,9.47,35.62,0.56,11.98,1.80,16.28,0.82,14.22,2.77,62.28,0.28,1.13,-0.19
1995-Abril,15.09,0.57,23.06,7.20,58.17,0.62,8.45,3.69,34.36,0.77,7.39,0.98,48.84,2.56,33.48,12.28,35.61,-0.03,11.67,1.77,16.26,-0.14,12.76,2.63,62.40,0.19,0.94,0
1995-Mayo,15.22,0.87,22.47,8.14,58.58,0.70,9.21,4.42,34.87,1.48,8.12,2.46,49.73,1.82,30.76,14.31,35.86,0.70,11.78,2.49,16.33,0.43,12.08,3.06,62.57,0.28,1.03,0.28
1995-Junio,15.45,1.49,22.31,9.75,59.09,0.87,9.22,5.33,35.31,1.26,9.15,3.76,50.19,0.93,29.35,15.37,36.52,1.84,11.31,4.37,16.43,0.63,11.79,3.72,62.69,0.19,1.22,0.47
1995-Julio,15.71,1.69,23.24,11.61,60.63,2.61,11.23,8.07,35.38,0.21,8.89,3.98,50.86,1.34,27.60,16.92,36.96,1.20,12.51,5.63,16.54,0.66,12.32,4.40,62.75,0.09,1.22,0.56
1995-Agosto,15.88,1.11,22.36,12.85,61.05,0.68,10.48,8.81,35.60,0.61,8.25,4.61,51.50,1.26,26.54,18.39,36.37,-1.60,8.92,3.94,16.73,1.13,12.29,5.58,62.87,0.19,1.22,0.75
1995-Setiembre,16.18,1.86,22.01,14.94,61.86,1.34,12.04,10.27,35.80,0.56,8.13,5.20,52.59,2.12,28.37,20.90,36.75,1.04,8.44,5.03,16.99,1.55,12.53,7.21,62.81,-0.09,1.12,0.65
1995-Octubre,16.66,2.98,23.87,18.37,62.14,0.45,11.30,10.76,36.30,1.40,8.69,6.67,53.57,1.86,28.53,23.15,38.16,3.84,10.70,9.06,17.11,0.72,11.99,7.99,62.69,-0.19,0.84,0.47
1995-Noviembre,17.05,2.37,24.93,21.17,62.41,0.44,11.85,11.25,36.78,1.31,8.57,8.07,54.32,1.39,26.41,24.87,39.25,2.86,12.08,12.17,17.27,0.92,12.08,8.98,62.69,0,0.47,0.47
