fecha,ipc,m1,m0,cpi,debt,exports,rev,hydro,imae,itcer,lendrate,deprate,tpm,banana
2012-03-01,4.55,7.917731515537696,4.99377219055237,2.55008252286002,0.1002675090610694,-1.7551882033420618,-5.4280274931393535,8.893113185068025,4.27,-2.09,8.46,5.21,5.5,-2.7286025078312015
2012-04-01,4.27,7.000014918391351,5.614759472961417,2.2477119945619073,-0.04694150793813634,-6.726987670998241,0.5950808344460157,-1.0271864336410808,1.63,-1.75,8.76,5.23,5.5,-4.659266587198285
2012-05-01,3.9,4.27208115148332,1.6333560343007036,1.7230134384217166,-0.3835706400977301,-2.100798317947561,12.268810194115964,-6.696747545297388,3.66,-2.69,9.18,5.25,5.5,-7.6494154186115715
2012-06-01,3.47,4.294545138393957,3.0912458736302995,1.6403429586643092,12.03822284712288,-5.1569897938257725,3.2331433621164862,-7.779971607895497,2.77,-3.49,9.65,5.2,5,-2.3584463911595854
2012-07-01,2.86,3.9652612060075754,4.392545405880277,1.407558729848013,11.779108307175612,-5.027810152546852,7.2066824891791725,-7.607667561071274,2.5,-3.12,10.35,5.34,5,-1.498572845704782
2012-08-01,2.71,3.0408638705898383,1.475122265459028,1.67188077526923,12.844427173397222,-2.592914054263229,10.27934508437145,4.354869206996526,2.92,-2.25,10.49,5.34,5,1.481276594992309
2012-09-01,3.28,4.982497994190105,4.963072552554593,1.9309534160266928,13.191802082748794,-4.153493440888312,-2.0226798459127338,5.434556984635552,2.11,0.04,9.91,5.38,5,2.9475034195825423
2012-10-01,3.35,5.666515520605664,5.456549049141657,2.1327719237691944,9.32501152149019,0.01365280908673938,7.19269846272077,4.9537508463010305,4.95,-0.46,9.91,5.4,5,4.726676620659553
2012-11-01,3.11,5.059126420498394,11.726988231792744,1.7800818183119738,15.066958142254984,2.290033127873148,0.5471119932719759,-4.73976134941978,3.19,-0.16,10.12,5.41,5,5.839565495045207
2012-12-01,3.45,6.480299781728682,13.317184205885011,1.74420490055045,11.765258572884818,-15.842533696588744,14.539721267861694,5.75105482583238,2.64,0.4,9.69,5.38,5,11.04208310056185
