Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,
Índice Mensual de la Actividad Económica,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,
Fechas,Guatemala,,,,,
,Serie original,,,Tendencia-ciclo,,
,IMAE,"IMAE, variación interanual","IMAE, variación acumulada",IMAE,"IMAE, variación interanual","IMAE, variación acumulada"
2013-Julio,98.59,3.87,3.69,99.77,3.42,3.77
2013-Agosto,98.63,3.52,3.67,100.07,3.28,3.70
2013-Setiembre,97.72,3.94,3.70,100.45,3.11,3.64
2013-Octubre,99.57,3.28,3.66,100.80,2.99,3.57
2013-Noviembre,102.38,3.28,3.62,101.12,2.97,3.52
2013-Diciembre,106.15,2.10,3.49,101.52,3.11,3.48
2014-Enero,102.80,3.79,3.79,102.09,3.44,3.44
2014-Febrero,102.55,3.80,3.79,102.79,3.82,3.63
2014-Marzo,106.70,4.90,4.17,103.46,4.21,3.83
2014-Abril,104.78,3.55,4.01,104.03,4.55,4.01
2014-Mayo,104.43,4.96,4.20,104.40,4.83,4.17
2014-Junio,101.04,4.48,4.25,104.53,4.92,4.30
2014-Julio,103.76,5.24,4.39,104.48,4.72,4.36
2014-Agosto,102.17,3.58,4.29,104.48,4.41,4.37
2014-Setiembre,101.76,4.13,4.27,104.72,4.25,4.35
2014-Octubre,103.88,4.33,4.28,105.23,4.39,4.36
2014-Noviembre,107.12,4.63,4.31,105.86,4.70,4.39
2014-Diciembre,112.35,5.84,4.44,106.47,4.87,4.43
2015-Enero,107.77,4.83,4.83,106.94,4.75,4.75
2015-Febrero,107.15,4.49,4.66,107.27,4.37,4.56
2015-Marzo,111.76,4.74,4.69,107.53,3.93,4.35
2015-Abril,107.64,2.73,4.19,107.83,3.65,4.17
2015-Mayo,106.68,2.16,3.79,108.23,3.67,4.07
2015-Junio,105.59,4.51,3.90,108.76,4.05,4.07
2015-Julio,108.69,4.76,4.03,109.33,4.64,4.15
2015-Agosto,107.51,5.23,4.17,109.79,5.08,4.27
2015-Setiembre,106.65,4.80,4.24,110.02,5.06,4.36
2015-Octubre,108.43,4.39,4.26,110.01,4.54,4.37
2015-Noviembre,111.46,4.05,4.24,109.82,3.74,4.32
2015-Diciembre,115.28,2.61,4.09,109.58,2.92,4.20
2016-Enero,109.73,1.83,1.83,109.46,2.36,2.36
2016-Febrero,109.46,2.15,1.99,109.58,2.15,2.26
2016-Marzo,112.96,1.08,1.68,109.95,2.25,2.25
2016-Abril,112.25,4.29,2.32,110.47,2.44,2.30
2016-Mayo,111.13,4.17,2.69,110.96,2.52,2.35
2016-Junio,108.49,2.74,2.70,111.40,2.43,2.36
2016-Julio,109.35,0.60,2.40,111.82,2.28,2.35
2016-Agosto,110.37,2.66,2.43,112.24,2.23,2.33
2016-Setiembre,109.79,2.94,2.49,112.65,2.39,2.34
2016-Octubre,110.34,1.75,2.41,113.09,2.80,2.39
2016-Noviembre,114.99,3.17,2.48,113.52,3.37,2.48
2016-Diciembre,120.70,4.70,2.68,113.88,3.93,2.60
2017-Enero,115.43,5.19,5.19,114.15,4.29,4.29
2017-Febrero,114.25,4.38,4.79,114.31,4.31,4.30
2017-Marzo,118.03,4.48,4.68,114.42,4.06,4.22
2017-Abril,114.68,2.16,4.05,114.58,3.72,4.09
2017-Mayo,113.73,2.34,3.70,114.87,3.52,3.98
2017-Junio,111.54,2.81,3.56,115.18,3.39,3.88
2017-Julio,113.71,3.99,3.62,115.41,3.21,3.78
2017-Agosto,113.87,3.17,3.56,115.50,2.91,3.67
2017-Setiembre,112.11,2.12,3.40,115.46,2.49,3.54
2017-Octubre,113.77,3.11,3.37,115.38,2.02,3.39
2017-Noviembre,117.03,1.78,3.22,115.42,1.67,3.23
2017-Diciembre,122.66,1.63,3.08,115.70,1.60,3.09
2018-Enero,117.61,1.89,1.89,116.30,1.88,1.88
2018-Febrero,117.44,2.79,2.34,117.23,2.55,2.22
2018-Marzo,121.56,2.99,2.56,118.37,3.45,2.63
2018-Abril,119.59,4.28,2.99,119.41,4.22,3.03
2018-Mayo,118.86,4.51,3.29,120.10,4.56,3.34
2018-Junio,116.15,4.13,3.42,120.27,4.42,3.52
2018-Julio,118.03,3.80,3.48,120.05,4.01,3.59
2018-Agosto,117.68,3.35,3.46,119.68,3.61,3.59
2018-Setiembre,115.19,2.75,3.38,119.30,3.33,3.56
2018-Octubre,117.97,3.69,3.41,119.03,3.16,3.52
2018-Noviembre,121.21,3.57,3.43,119.02,3.12,3.48
2018-Diciembre,125.39,2.22,3.32,119.43,3.22,3.46
2019-Enero,121.78,3.54,3.54,120.31,3.44,3.44
2019-Febrero,122.36,4.19,3.87,121.59,3.72,3.58
2019-Marzo,125.91,3.58,3.77,123.02,3.93,3.70
2019-Abril,124.00,3.69,3.75,124.21,4.02,3.78
2019-Mayo,123.77,4.13,3.82,124.83,3.94,3.81
2019-Junio,120.01,3.33,3.74,124.83,3.79,3.81
2019-Julio,122.50,3.79,3.75,124.35,3.59,3.78
2019-Agosto,121.60,3.33,3.70,123.78,3.43,3.73
