"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública mensual interna y externa y su relación con el PIB",,,,,,
"Unidad de medida: Millones de US dólares.  Relación respecto al PIB, en porcentajes.",,,,,,
Fechas,Guatemala,,,,,
,"Deuda total","Deuda interna bruta - ME","Deuda externa","Deuda total / PIB","Deuda interna bruta / PIB","Deuda externa / PIB"
2011-Febrero,10558.65,7266.08,5539.68,22.25,15.31,11.68
2011-Marzo,10849.60,7628.91,5522.45,22.87,16.08,11.64
2011-Abril,10806.46,7646.58,5518.80,22.78,16.12,11.63
2011-Mayo,11059.46,7825.59,5537.60,23.31,16.49,11.67
2011-Junio,11101.49,7897.32,5530.85,23.40,16.64,11.66
2011-Julio,11300.16,8093.08,5522.80,23.82,17.06,11.64
2011-Agosto,11199.60,8003.76,5498.40,23.60,16.87,11.59
2011-Setiembre,11427.24,8215.01,5475.10,24.08,17.31,11.54
2011-Octubre,11704.99,8332.19,5736.94,24.67,17.56,12.09
2011-Noviembre,10924.05,7870.19,5402.60,23.02,16.59,11.39
2011-Diciembre,11298.14,8082.14,5604.92,23.81,17.03,11.81
2012-Enero,11485.40,8368.19,5587.88,23.02,16.77,11.20
2012-Febrero,11283.09,8270.41,5551.62,22.61,16.57,11.12
2012-Marzo,11330.75,8385.99,5527.99,22.71,16.80,11.08
2012-Abril,11225.99,8326.03,5516.21,22.50,16.68,11.05
2012-Mayo,11301.52,8390.11,5516.42,22.65,16.81,11.05
2012-Junio,11920.35,8287.96,6238.35,23.89,16.61,12.50
2012-Julio,11968.45,8360.93,6213.24,23.98,16.75,12.45
2012-Agosto,12304.32,8627.52,6252.05,24.66,17.29,12.53
2012-Setiembre,12310.48,8661.39,6247.12,24.67,17.36,12.52
2012-Octubre,12294.63,8635.60,6297.68,24.64,17.30,12.62
2012-Noviembre,12302.02,8676.80,6281.10,24.65,17.39,12.59
2012-Diciembre,12178.99,8505.25,6304.90,24.40,17.04,12.63
2013-Enero,12555.04,8960.45,6264.98,23.69,16.91,11.82
2013-Febrero,13310.22,9028.72,6934.40,25.11,17.04,13.08
2013-Marzo,13017.88,8791.36,6908.30,24.56,16.59,13.04
2013-Abril,13340.53,9058.47,6953.50,25.17,17.09,13.12
2013-Mayo,13275.72,9065.92,6937.80,25.05,17.11,13.09
2013-Junio,13369.10,9124.32,6973.68,25.23,17.22,13.16
2013-Julio,13086.14,9176.52,6650.90,24.69,17.31,12.55
2013-Agosto,12976.43,9100.17,6639.77,24.48,17.17,12.53
2013-Setiembre,13068.40,9199.41,6620.50,24.66,17.36,12.49
2013-Octubre,12800.34,8987.19,6623.40,24.15,16.96,12.50
2013-Noviembre,13087.93,9110.77,6807.41,24.70,17.19,12.84
2013-Diciembre,13646.06,9363.90,7070.23,25.75,17.67,13.34
2014-Enero,14241.81,10060.12,7045.47,24.62,17.39,12.18
2014-Febrero,14257.62,10118.59,7023.70,24.64,17.49,12.14
2014-Marzo,14234.90,10102.76,7028.10,24.61,17.46,12.15
2014-Abril,14314.27,10237.24,7026.55,24.74,17.70,12.15
2014-Mayo,14188.82,10121.42,7016.30,24.53,17.50,12.13
2014-Junio,14546.30,10461.80,7029.08,25.14,18.08,12.15
2014-Julio,14506.72,10497.13,7001.63,25.08,18.14,12.10
2014-Agosto,14506.14,10517.78,7011.66,25.07,18.18,12.12
2014-Setiembre,14532.38,10592.55,6985.08,25.12,18.31,12.07
2014-Octubre,14775.45,10878.31,6996.50,25.54,18.80,12.09
2014-Noviembre,14563.09,10607.76,7017.90,25.17,18.34,12.13
2014-Diciembre,14706.94,10677.35,7039.30,25.42,18.46,12.17
2015-Enero,15389.64,11102.23,7356.32,24.75,17.85,11.83
2015-Febrero,15767.15,11435.69,7404.40,25.35,18.39,11.91
2015-Marzo,15508.83,11150.60,7382.33,24.94,17.93,11.87
2015-Abril,15561.70,11070.89,7496.05,25.02,17.80,12.05
2015-Mayo,15916.13,11347.05,7484.72,25.59,18.25,12.04
2015-Junio,15593.17,11049.10,7485.79,25.08,17.77,12.04
2015-Julio,16062.34,11494.55,7451.64,25.83,18.48,11.98
2015-Agosto,15690.23,11179.62,7429.95,25.23,17.98,11.95
2015-Setiembre,15650.85,11185.35,7403.55,25.17,17.99,11.91
2015-Octubre,15716.66,11284.28,7400.30,25.27,18.15,11.90
2015-Noviembre,15444.56,11059.88,7377.10,24.84,17.79,11.86
2015-Diciembre,15772.49,11160.12,7489.90,25.36,17.95,12.04
2016-Enero,15933.26,11364.60,7447.45,24.12,17.21,11.27
2016-Febrero,16070.64,11514.81,7430.37,24.33,17.43,11.25
2016-Marzo,16256.84,11687.27,7410.78,24.61,17.69,11.22
2016-Abril,15839.36,11330.73,7401.01,23.98,17.15,11.20
2016-Mayo,16472.07,11346.59,8069.07,24.94,17.18,12.22
2016-Junio,16691.78,11588.43,8064.97,25.27,17.54,12.21
2016-Julio,17092.59,12107.24,8022.70,25.88,18.33,12.15
2016-Agosto,16871.21,11902.79,8005.81,25.54,18.02,12.12
2016-Setiembre,17194.06,12296.81,7996.81,26.03,18.62,12.11
2016-Octubre,17265.60,12450.33,7962.48,26.14,18.85,12.05
2016-Noviembre,17047.61,12283.44,8014.39,25.81,18.60,12.13
2016-Diciembre,16660.15,11922.35,8015.50,25.22,18.05,12.13
2017-Enero,17200.34,12515.78,7983.97,24.00,17.47,11.14
2017-Febrero,17101.39,12497.22,7944.78,23.87,17.44,11.09
2017-Marzo,17671.62,13101.11,7906.40,24.66,18.28,11.03
2017-Abril,17717.67,13200.25,7870.29,24.73,18.42,10.98
2017-Mayo,17530.68,13175.26,7859.40,24.47,18.39,10.97
2017-Junio,18304.89,13506.31,8344.87,25.55,18.85,11.65
2017-Julio,18676.72,14035.29,8309.74,26.07,19.59,11.60
2017-Agosto,18902.87,14360.84,8286.06,26.38,20.04,11.56
2017-Setiembre,18835.27,14300.96,8243.00,26.29,19.96,11.50
2017-Octubre,19145.90,14575.65,8245.09,26.72,20.34,11.51
2017-Noviembre,19258.60,14928.41,8233.88,26.88,20.83,11.49
2017-Diciembre,18643.93,14439.56,8181.47,26.02,20.15,11.42
2018-Enero,19033.88,14858.64,8164.54,26.00,20.30,11.15
2018-Febrero,19097.21,14962.83,8158.21,26.09,20.44,11.14
2018-Marzo,19081.64,15034.83,8139.69,26.07,20.54,11.12
2018-Abril,19374.62,15434.85,8118.40,26.47,21.08,11.09
2018-Mayo,19186.22,15278.51,8102.32,26.21,20.87,11.07
2018-Junio,19238.31,15409.40,8088.04,26.28,21.05,11.05
2018-Julio,19798.42,16043.90,8065.43,27.04,21.92,11.02
2018-Agosto,19710.85,15717.31,8305.12,26.93,21.47,11.34
